YelpLeaf,YelpParent1,YelpParent2,YelpParent3,MatchLeaf,MatchParent1,MatchParent2,MatchParent3,Tradition,Self-Expression,Utilitarian,Charisma,Egalitarian,Neighborliness,Formality,Exhibitionism,Glamour,Transgression,Rationality,Locality,State,Corporateness,Ethnicity
Lahmacun,Turkish,Restaurants,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lakes,Active Life,-,-,Fishing Lakes & Ponds,-,-,-,3.2,3.8,2.2,3.0,3.0,3.2,2.2,2.4,2.0,2.25,3.0,4.5,2.75,2.75,3.0
LAN Centers,Arts & Entertainment,-,-,Internet-Cafes,-,-,-,2.0,3.0,3.0,3.0,3.5,2.0,2.5,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0
Landmarks & Historical Buildings,Public Services & Government,-,-,Historic and Heritage Sites,-,-,-,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.5
Landscape Architects,Home Services,-,-,Landscape Architectural Services,-,-,-,3.0,4.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.0
Landscaping,Home Services,-,-,Landscaping services,-,-,-,3.0,3.4,2.4,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Land Surveying,Real Estate Services,Real Estate,Home Services,Land Development Companies,Inspectors & Surveyors,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Language Schools,Specialty Schools,Education,-,Language Schools,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
Laos,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Laotian,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Laser Hair Removal,Hair Removal,Beauty & Spas,-,Hair Removal,Skin & scalp services & products,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Laser Eye Surgery/Lasik,Health & Medical,-,-,Laser Vision Correction,-,-,-,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Laser Tag,Active Life,-,-,Laser-Games,Games,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Latin American,Restaurants,-,-,Latin American Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Laundromat,Laundry Services,Local Services,-,Laundries-Self Service,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Laundry Services,Local Services,-,-,Laundries,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lawn Bowling,Active Life,-,-,Bowling Centres,Other Amusement and Recreation Industries,"Amusement, Gambling and Recreation Industries","Arts, Entertainment and Recreation",3.0,3.0,2.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Lawn Services,Landscaping,Home Services,-,Landscaping Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lawyers,Professional Services,-,-,Lawyers,-,-,-,3.0,2.0,3.0,2.5,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.5,4.0,3.0,3.0
Leather Goods,Fashion,Shopping,-,Leather Goods-Retail,Apparel & Accessories,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lebanese,Middle Eastern,Restaurants,-,Lebanese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Legal Services,Professional Services,-,-,Legal Aid,-,-,-,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
Libraries,Public Services & Government,-,-,Libraries,Public,-,-,4.5,3.0,3.0,3.5,5.0,3.5,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
Lice Services,Health & Medical,-,-,Clinics-Medical,-,-,-,3.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Life Coach,Professional Services,-,-,Career Counselling,-,-,-,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Life Insurance,Insurance,Financial Services,-,"Insurance-Life, Health & Travel",-,-,-,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0
Lighting Fixtures & Equipment,Home Services,-,-,Home Centres,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lighting Stores,Home & Garden,Shopping,-,Housewares Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Limos,Transportation,Hotels & Travel,-,Limousine Service,-,-,-,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,3.0
Linens,Home & Garden,Shopping,-,Linens-Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lingerie,Fashion,Shopping,-,Lingerie-Retail,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Livestock Feed & Supply,Shopping,-,-,Livestock,Farming equipment & services,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Local Fish Stores,Pet Stores,Pets,-,Pet & pet supplies stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0,3.0
Keys & Locksmiths,Home Services,-,-,Home Centres,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lounges,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Luggage,Shopping,-,-,Luggage-Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Luggage Storage,Travel Services,Hotels & Travel,-,Other Travel Arrangement and Reservation Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Lumbard,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lyonnais,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Macarons,Specialty Food,Food,-,Confectionery and Nut Stores,Other Specialty Food Stores,Food and Beverage Stores,Retail Trade,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Machine & Tool Rental,Local Services,-,-,Rental Equipment,Tools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Machine Shops,Local Services,-,-,Machine Shops,-,-,-,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Madeira,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Magicians,Event Planning & Services,-,-,Magicians,Artists & Entertainers,-,-,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.5,3.0
Newspapers & Magazines,"Books, Mags, Music & Video",Shopping,-,Magazines-Dealers,Stores,General,-,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,2.5,3.0,3.0,3.0
Mah Jong Halls,Arts & Entertainment,-,-,Amusement Places,-,-,-,3.0,3.0,1.0,3.5,3.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Mailbox Centers,Local Services,-,-,Post Offices,"Shipping, Packaging & Postal Services",-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0
Makerspaces,Arts & Entertainment,-,-,Display Designers & Producers,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Makeup Artists,Beauty & Spas,-,-,Beauty Institutes,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Malaysian,Restaurants,-,-,Malaysian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Mamak,Malaysian,Restaurants,-,Malaysian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Marching Bands,Arts & Entertainment,-,-,Musical Groups and Artists,Performing Arts Companies,"Performing Arts, Spectator Sports and Related Industries","Arts, Entertainment and Recreation",3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Marinas,Automotive,-,-,Marinas,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Marketing,Professional Services,-,-,Marketing Consultants,-,-,-,2.0,3.0,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
Fruits & Veggies,Specialty Food,Food,-,Fruit and Vegetable Markets,-,-,-,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Market Stalls,Shopping,-,-,General Stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Martial Arts,Fitness & Instruction,Active Life,-,Martial Arts Instruction,-,-,-,3.8,2.8,2.4,3.6,2.4,3.0,4.4,2.8,3.0,3.0,2.75,3.0,3.0,2.25,3.75
Masonry/Concrete,Home Services,-,-,Home Builders,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Massage,Beauty & Spas,-,-,Massage Therapists,-,-,-,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Massage Schools,Specialty Schools,Education,-,Schools-Massage Therapists,Specialized Schools,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Massage Therapy,Health & Medical,-,-,Massage Therapists,-,-,-,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Matchmakers,Professional Services,-,-,Professional organizations,-,-,-,3.0,3.0,3.6,3.0,2.4,4.0,4.0,3.0,3.0,2.25,3.0,3.5,3.0,3.0,2.75
Materiale elettrico,Home & Garden,Shopping,-,Electronic Equipment & Supplies-Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Maternity Wear,Fashion,Shopping,-,Women's Apparel-Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Mattresses,Home & Garden,Shopping,-,Home Centres,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,Retail Trade,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mauritius,French,Restaurants,-,French Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.2,3.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0
Meaderies,Food,-,-,Drinking places (alcoholic beverages),-,-,-,3.0,3.0,2.0,3.2,3.0,3.6,3.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0
Meatballs,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Meat Shops,Specialty Food,Food,-,Meat Markets,Specialty Food Stores,Food and Beverage Stores,Retail Trade,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Medical Centers,Health & Medical,-,-,Clinics-Medical,Hospitals & Clinics,-,-,3.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
"Books, Mags, Music & Video",Shopping,-,-,Book Stores and News Dealers,"Book, Periodical and Music Stores","Sporting Goods, Hobby, Book and Music Stores",Retail Trade,3.5,3.5,2.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mediators,Professional Services,-,-,Mediation Services,Consultants,-,-,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,4.0,3.0,3.0,3.0,3.0
Medical Foot Care,Health & Medical,-,-,Foot Care,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,2.0,3.0,3.0,3.0,3.0
Medical Law,Lawyers,Professional Services,-,Offices of Lawyers,Legal Services,"Professional, Scientific and Technical Services",-,3.0,2.0,3.5,2.5,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0
Medical Spas,Beauty & Spas,-,-,Beauty Institutes,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Medical Supplies,Shopping,-,-,Pharmacies and Drug Stores,Health and Personal Care Stores,Retail Trade,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Medical Transportation,Health & Medical,-,-,Medical Technical Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Meditation Centers,Fitness & Instruction,Active Life,-,Yoga Instruction,Fitness & Exercise,-,-,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.5
Mediterranean,Restaurants,-,-,Mediterranean Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.25
Memory Care,Health & Medical,-,-,Mental Health Services,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Men's Clothing,Fashion,Shopping,-,Men's Clothing Stores,-,-,-,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Men's Hair Salons,Hair Salons,Beauty & Spas,-,Hairstylists,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Metal Fabricators,Local Services,-,-,Engineers-Metallurgical,-,-,-,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0
Metro Stations,Transportation,Hotels & Travel,-,Train Stations & Ticket Agencies,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mexican,Restaurants,-,-,Mexican Foods,Restaurants,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,5.0
Middle Eastern,Restaurants,-,-,Middle Eastern Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Midwives,Health & Medical,-,-,Midwives,Alternative Health Care,-,-,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Military Surplus,Shopping,-,-,Military Goods,-,-,-,4.0,1.0,3.0,2.5,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,5.0,2.5,2.5
Milk Bars,Restaurants,-,-,Dairy Bar Restaurant,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Milkshake Bars,Food,-,-,Dairy Bar Restaurant,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Minho,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Mini Golf,Active Life,-,-,Golf Courses-Miniature,Golf,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Misting System Services,Local Services,-,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Home Repair,Home Services,-,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Dent Repair,Automotive,-,-,Automobile Body Repairing & Painting,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Home Dealers,Real Estate,Home Services,-,Mobile Homes-Dealers,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Home Parks,Real Estate,Home Services,-,Mobile Homes-Parks,Real Estate,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Phone Repair,IT Services & Computer Repair,Local Services,-,Cellular & Wireless Telephones & Service,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Mobile Phones,Shopping,-,-,Mobile Telephones,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Mobility Equipment Sales & Services,Automotive,-,-,Automobile Body Shop Equipment & Supplies,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Modern Australian,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Modern European,Restaurants,-,-,European Restaurant,-,-,-,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mohels,Event Planning & Services,-,-,Event Planning,Consultants,-,-,3.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mongolian,Restaurants,-,-,Mongolian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Montessori Schools,Education,-,-,Schools-Academic-Elementary & Secondary,-,-,-,4.0,4.0,4.0,3.0,4.0,4.0,2.5,3.0,3.0,2.0,4.0,3.5,4.0,3.0,3.0
Moroccan,Restaurants,-,-,Moroccan Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Mortgage Brokers,Real Estate,Home Services,-,Mortgage Brokers,-,-,-,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
Mortgage Lenders,Financial Services,-,-,Personal and Commercial Banking Industry,Depository Credit Intermediation,Credit Intermediation and Related Activities,Finance and Insurance,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0
Mortuary Services,Funeral Services & Cemeteries,Local Services,-,Funeral Planning,Community Services & Organizations,-,-,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
Mosques,Religious Organizations,-,-,Mosques,-,-,-,3.5,2.0,2.0,4.0,4.0,4.0,4.0,1.5,2.5,2.0,2.0,4.0,2.0,2.0,4.0
Motorsport Vehicle Dealers,Automotive,-,-,Recreational Vehicle Dealers,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Motorcycle Rental,Hotels & Travel,-,-,Motorcycles & Motor Scooters,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
Motorcycle Dealers,Automotive,-,-,"Motorcycle, Boat and Other Motor Vehicle Dealers",-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0
Motorcycle Parts & Supplies,Auto Parts & Supplies,Automotive,-,Automotive Parts and Accessories Stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Motorcycle Repair,Automotive,-,-,"Automotive Body, Paint and Interior Repair and Maintenance",-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Motorcycle Gear,Shopping,-,-,"Motorcycle, Boat and Other Motor Vehicle Dealers",Motor Vehicle and Parts Dealers,Retail Trade,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0
Motorsport Vehicle Repairs,Automotive,-,-,Automobile Body Repairing & Painting,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mountain Biking,Active Life,-,-,Exercising Equipment,Fitness & Exercise,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.5,3.0
Mountain Huts,Hotels,Event Planning & Services,-,Hunting and Fishing Camps,RV (Recreational Vehicle) Parks and Recreational Camps,Accommodation Services,Accommodation and Food Services,4.0,3.0,2.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,2.0,3.5,3.0,2.0,3.0
Movers,Home Services,-,-,Home Centres,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cinema,Arts & Entertainment,-,-,Cinemas,Theatre,-,-,3.0,3.0,2.0,4.5,3.0,3.0,3.0,3.0,3.5,3.0,2.0,3.0,3.0,3.5,3.0
Muay Thai,Martial Arts,Fitness & Instruction,Active Life,Martial Arts & Self-Defense Instruction,-,-,-,4.0,2.5,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.5
Municipality,Public Services & Government,-,-,Government-Municipal,-,-,-,3.5,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0
Museums,Arts & Entertainment,-,-,Museums,-,-,-,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Musical Instruments & Teachers,Shopping,-,-,Musical instrument & supplies stores,-,-,-,3.0,4.0,2.4,3.4,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Musicians,Event Planning & Services,-,-,Musical groups & artists,-,-,-,3.0,4.0,2.2,4.0,3.0,3.2,3.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0
Musical Instrument Services,Local Services,-,-,Musical Instrument and Supplies Stores,-,-,-,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Music Production Services,Professional Services,-,-,Music Publishers,Sound Recording Industries,Motion Picture and Sound Recording Industries,Information and Cultural Industries,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Music Venues,Nightlife,-,-,Night clubs,-,-,-,2.0,4.0,2.0,3.0,2.5,3.0,3.5,4.0,4.5,3.5,2.0,3.0,3.0,3.0,3.0
Music & DVDs,"Books, Mags, Music & Video",Shopping,-,"Music-Records, Compact Discs & Tapes-Retail",-,-,-,3.0,3.5,2.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Mystics,Supernatural Readings,Arts & Entertainment,-,Magicians,Artists & Entertainers,-,-,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.5,3.0
Nail Technicians,Nail Salons,Beauty & Spas,-,Nail Salons & Services,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Nanny Services,Local Services,-,-,Nannies,-,-,-,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Napoletana,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Nasi Lemak,Food,-,-,Malaysian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Natural Gas Suppliers,Utilities,Home Services,-,Natural Gas Companies,-,-,-,3.0,3.0,4.0,3.0,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Naturopathic/Holistic,Doctors,Health & Medical,-,Naturotherapists,-,-,-,3.5,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Nephrologists,Doctors,Health & Medical,-,Physicians & Surgeons,Physicians & Surgeons,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
